AlexNet,VGG16,VGG19,Sum,Max,Min,Avg,Time
0.93762,0.90868,0.88273,0.95659,0.91567,0.96707,0.95958,289.98
0.98054,0.87226,0.86727,0.93563,0.92914,0.97355,0.94112,280.52
0.97405,0.88922,0.87525,0.93114,0.90968,0.98204,0.93413,301.42
0.97904,0.88772,0.86677,0.93413,0.92764,0.97305,0.94661,294.57
0.97255,0.88473,0.86876,0.92814,0.91916,0.96657,0.93413,280.77
0.97555,0.90519,0.88772,0.94661,0.90469,0.98104,0.93613,287.33
0.98004,0.91766,0.88523,0.94311,0.9496,0.97206,0.93114,300.48
0.97904,0.87375,0.87325,0.93164,0.93064,0.95409,0.91916,305.16
0.98204,0.88074,0.87425,0.93313,0.91118,0.96756,0.92914,303.77
0.97006,0.90419,0.88822,0.95359,0.90918,0.97255,0.94162,306.17
0.98054,0.89122,0.88373,0.93962,0.90369,0.97405,0.9486,294.3
0.99451,0.5,0.5,0.97106,0.92814,0.98004,0.97255,292.47
0.98104,0.91018,0.88772,0.94162,0.90719,0.95758,0.9506,293.65
0.97954,0.88323,0.87325,0.93413,0.90968,0.96906,0.95409,282.44
0.98653,0.91717,0.8982,0.95858,0.91168,0.96208,0.93014,220.94
