AlexNet,VGG16,VGG19,Sum,Max,Min,Avg,Time
1,0.99002,0.96507,0.999,0.99501,1,1,198.09
0.999,0.99202,0.97804,0.999,0.999,1,0.999,191.55
1,0.99102,0.96407,0.999,0.999,1,0.999,189.16
1,0.99102,0.97705,0.999,0.99501,0.99701,0.998,191.46
1,0.99002,0.97605,0.999,0.99401,1,0.999,192.85
1,0.99301,0.97904,1,0.999,1,0.998,190.19
0.998,0.99102,0.96607,0.99701,0.998,0.99601,0.999,195.89
0.999,0.99202,0.95908,0.998,0.99301,1,0.999,193.06
0.999,0.99401,0.96906,0.999,0.999,1,0.999,194.02
0.999,0.98703,0.95509,0.99701,0.99701,1,0.999,192.49
